query,query_len_type,query_sentiment,query_search_type,query_form,LLM,emo_feature_name,emo_feature_percent
Quanto e alta la tomba di Cheope?,long,neutral,fact,OG,Gemma,anger,12.42
Quanto e alta la tomba di Cheope?,long,neutral,fact,OG,Gemma,surprise,12.72
Quanto e alta la tomba di Cheope?,long,neutral,fact,OG,Gemma,disgust,11.99
Quanto e alta la tomba di Cheope?,long,neutral,fact,OG,Gemma,fear,12.55
Quanto e alta la tomba di Cheope?,long,neutral,fact,OG,Gemma,sadness,12.48
Quanto e alta la tomba di Cheope?,long,neutral,fact,OG,Gemma,trust,12.66
Quanto e alta la tomba di Cheope?,long,neutral,fact,OG,Gemma,expectations,12.75
Si e scoperto il padre di Micerino?,long,neutral,multisteps,OG,Gemma,positive,30.89
Si e scoperto il padre di Micerino?,long,neutral,multisteps,OG,Gemma,negative,35.87
Si e scoperto il padre di Micerino?,long,neutral,multisteps,OG,Gemma,neutral,33.24
Si e scoperto il padre di Micerino?,long,neutral,multisteps,OG,Gemma,joy,12.07
Si e scoperto il padre di Micerino?,long,neutral,multisteps,OG,Gemma,anger,12.48
Si e scoperto il padre di Micerino?,long,neutral,multisteps,OG,Gemma,surprise,12.88
Si e scoperto il padre di Micerino?,long,neutral,multisteps,OG,Gemma,disgust,11.83
Si e scoperto il padre di Micerino?,long,neutral,multisteps,OG,Gemma,fear,12.31
Si e scoperto il padre di Micerino?,long,neutral,multisteps,OG,Gemma,sadness,12.57
Si e scoperto il padre di Micerino?,long,neutral,multisteps,OG,Gemma,trust,13.42
Si e scoperto il padre di Micerino?,long,neutral,multisteps,OG,Gemma,expectations,12.44
quali sono le regole principali della pallavolo,long,neutral,opensearch,OG,Gemma,positive,27.98
quali sono le regole principali della pallavolo,long,neutral,opensearch,OG,Gemma,negative,29.56
quali sono le regole principali della pallavolo,long,neutral,opensearch,OG,Gemma,neutral,42.46
quali sono le regole principali della pallavolo,long,neutral,opensearch,OG,Gemma,joy,12.47
quali sono le regole principali della pallavolo,long,neutral,opensearch,OG,Gemma,anger,12.79
quali sono le regole principali della pallavolo,long,neutral,opensearch,OG,Gemma,surprise,12.97
quali sono le regole principali della pallavolo,long,neutral,opensearch,OG,Gemma,disgust,11.59
quali sono le regole principali della pallavolo,long,neutral,opensearch,OG,Gemma,fear,12.42
quali sono le regole principali della pallavolo,long,neutral,opensearch,OG,Gemma,sadness,12.25
quali sono le regole principali della pallavolo,long,neutral,opensearch,OG,Gemma,trust,13.1
quali sono le regole principali della pallavolo,long,neutral,opensearch,OG,Gemma,expectations,12.4
quanti leopardi delle nevi sono rimasti,short,negative,multisteps,OG,Gemma,positive,30.48
quanti leopardi delle nevi sono rimasti,short,negative,multisteps,OG,Gemma,negative,32.17
quanti leopardi delle nevi sono rimasti,short,negative,multisteps,OG,Gemma,neutral,37.35
quanti leopardi delle nevi sono rimasti,short,negative,multisteps,OG,Gemma,joy,12.01
quanti leopardi delle nevi sono rimasti,short,negative,multisteps,OG,Gemma,anger,12.39
quanti leopardi delle nevi sono rimasti,short,negative,multisteps,OG,Gemma,surprise,12.53
quanti leopardi delle nevi sono rimasti,short,negative,multisteps,OG,Gemma,disgust,11.55
quanti leopardi delle nevi sono rimasti,short,negative,multisteps,OG,Gemma,fear,12.23
quanti leopardi delle nevi sono rimasti,short,negative,multisteps,OG,Gemma,sadness,12.12
quanti leopardi delle nevi sono rimasti,short,negative,multisteps,OG,Gemma,trust,14.0
quanti leopardi delle nevi sono rimasti,short,negative,multisteps,OG,Gemma,expectations,13.17
CHE VELOCITA PUO RAGGIUNGERE UN TORNADO FENOMENO NATURALE,long,neutral,fact,OG,Gemma,positive,26.05
CHE VELOCITA PUO RAGGIUNGERE UN TORNADO FENOMENO NATURALE,long,neutral,fact,OG,Gemma,negative,36.11
CHE VELOCITA PUO RAGGIUNGERE UN TORNADO FENOMENO NATURALE,long,neutral,fact,OG,Gemma,neutral,37.84
CHE VELOCITA PUO RAGGIUNGERE UN TORNADO FENOMENO NATURALE,long,neutral,fact,OG,Gemma,joy,12.38
CHE VELOCITA PUO RAGGIUNGERE UN TORNADO FENOMENO NATURALE,long,neutral,fact,OG,Gemma,anger,12.53
CHE VELOCITA PUO RAGGIUNGERE UN TORNADO FENOMENO NATURALE,long,neutral,fact,OG,Gemma,surprise,12.71
CHE VELOCITA PUO RAGGIUNGERE UN TORNADO FENOMENO NATURALE,long,neutral,fact,OG,Gemma,disgust,11.85
CHE VELOCITA PUO RAGGIUNGERE UN TORNADO FENOMENO NATURALE,long,neutral,fact,OG,Gemma,fear,13.05
CHE VELOCITA PUO RAGGIUNGERE UN TORNADO FENOMENO NATURALE,long,neutral,fact,OG,Gemma,sadness,12.39
CHE VELOCITA PUO RAGGIUNGERE UN TORNADO FENOMENO NATURALE,long,neutral,fact,OG,Gemma,trust,12.44
CHE VELOCITA PUO RAGGIUNGERE UN TORNADO FENOMENO NATURALE,long,neutral,fact,OG,Gemma,expectations,12.65
Come si costruivano le piramidi Egizie?,short,neutral,opensearch,OG,Gemma,positive,28.16
Come si costruivano le piramidi Egizie?,short,neutral,opensearch,OG,Gemma,negative,20.01
Come si costruivano le piramidi Egizie?,short,neutral,opensearch,OG,Gemma,neutral,51.83
Come si costruivano le piramidi Egizie?,short,neutral,opensearch,OG,Gemma,joy,12.41
Come si costruivano le piramidi Egizie?,short,neutral,opensearch,OG,Gemma,anger,12.59
Come si costruivano le piramidi Egizie?,short,neutral,opensearch,OG,Gemma,surprise,12.34
Come si costruivano le piramidi Egizie?,short,neutral,opensearch,OG,Gemma,disgust,11.94
Come si costruivano le piramidi Egizie?,short,neutral,opensearch,OG,Gemma,fear,12.54
Come si costruivano le piramidi Egizie?,short,neutral,opensearch,OG,Gemma,sadness,12.26
Come si costruivano le piramidi Egizie?,short,neutral,opensearch,OG,Gemma,trust,13.4
Come si costruivano le piramidi Egizie?,short,neutral,opensearch,OG,Gemma,expectations,12.52
Dove si trova la piramide di Cheope?,long,neutral,fact,OG,Gemma,positive,26.61
Dove si trova la piramide di Cheope?,long,neutral,fact,OG,Gemma,negative,27.78
Dove si trova la piramide di Cheope?,long,neutral,fact,OG,Gemma,neutral,45.61
Dove si trova la piramide di Cheope?,long,neutral,fact,OG,Gemma,joy,12.3
Dove si trova la piramide di Cheope?,long,neutral,fact,OG,Gemma,anger,12.61
Dove si trova la piramide di Cheope?,long,neutral,fact,OG,Gemma,surprise,12.64
Dove si trova la piramide di Cheope?,long,neutral,fact,OG,Gemma,disgust,12.05
Dove si trova la piramide di Cheope?,long,neutral,fact,OG,Gemma,fear,12.47
Dove si trova la piramide di Cheope?,long,neutral,fact,OG,Gemma,sadness,12.06
Dove si trova la piramide di Cheope?,long,neutral,fact,OG,Gemma,trust,12.89
Dove si trova la piramide di Cheope?,long,neutral,fact,OG,Gemma,expectations,12.97
FANTASMA DELLE MONTAGNE,short,neutral,multisteps,OG,Gemma,positive,24.4
FANTASMA DELLE MONTAGNE,short,neutral,multisteps,OG,Gemma,negative,22.15
FANTASMA DELLE MONTAGNE,short,neutral,multisteps,OG,Gemma,neutral,53.45
FANTASMA DELLE MONTAGNE,short,neutral,multisteps,OG,Gemma,joy,12.76
FANTASMA DELLE MONTAGNE,short,neutral,multisteps,OG,Gemma,anger,12.39
FANTASMA DELLE MONTAGNE,short,neutral,multisteps,OG,Gemma,surprise,12.78
FANTASMA DELLE MONTAGNE,short,neutral,multisteps,OG,Gemma,disgust,12.24
FANTASMA DELLE MONTAGNE,short,neutral,multisteps,OG,Gemma,fear,12.37
FANTASMA DELLE MONTAGNE,short,neutral,multisteps,OG,Gemma,sadness,12.4
FANTASMA DELLE MONTAGNE,short,neutral,multisteps,OG,Gemma,trust,12.41
FANTASMA DELLE MONTAGNE,short,neutral,multisteps,OG,Gemma,expectations,12.66
QUALI SONO GLI ALTRI NOMI DI UN TORTANADO,long,neutral,fact,OG,Gemma,positive,37.99
QUALI SONO GLI ALTRI NOMI DI UN TORTANADO,long,neutral,fact,OG,Gemma,negative,26.99
QUALI SONO GLI ALTRI NOMI DI UN TORTANADO,long,neutral,fact,OG,Gemma,neutral,35.02
QUALI SONO GLI ALTRI NOMI DI UN TORTANADO,long,neutral,fact,OG,Gemma,joy,12.23
QUALI SONO GLI ALTRI NOMI DI UN TORTANADO,long,neutral,fact,OG,Gemma,anger,12.17
QUALI SONO GLI ALTRI NOMI DI UN TORTANADO,long,neutral,fact,OG,Gemma,surprise,12.26
QUALI SONO GLI ALTRI NOMI DI UN TORTANADO,long,neutral,fact,OG,Gemma,disgust,11.78
QUALI SONO GLI ALTRI NOMI DI UN TORTANADO,long,neutral,fact,OG,Gemma,fear,12.56
QUALI SONO GLI ALTRI NOMI DI UN TORTANADO,long,neutral,fact,OG,Gemma,sadness,12.32
QUALI SONO GLI ALTRI NOMI DI UN TORTANADO,long,neutral,fact,OG,Gemma,trust,14.0
QUALI SONO GLI ALTRI NOMI DI UN TORTANADO,long,neutral,fact,OG,Gemma,expectations,12.68
Quale e la piramide egizia piu` alta ?,long,neutral,fact,OG,Gemma,positive,25.42
Quale e la piramide egizia piu` alta ?,long,neutral,fact,OG,Gemma,negative,24.76
Quale e la piramide egizia piu` alta ?,long,neutral,fact,OG,Gemma,neutral,49.82
Quale e la piramide egizia piu` alta ?,long,neutral,fact,OG,Gemma,joy,12.3
Quale e la piramide egizia piu` alta ?,long,neutral,fact,OG,Gemma,anger,12.54
Quale e la piramide egizia piu` alta ?,long,neutral,fact,OG,Gemma,surprise,12.95
Quale e la piramide egizia piu` alta ?,long,neutral,fact,OG,Gemma,disgust,12.02
Quale e la piramide egizia piu` alta ?,long,neutral,fact,OG,Gemma,fear,12.57
Quale e la piramide egizia piu` alta ?,long,neutral,fact,OG,Gemma,sadness,12.09
Quale e la piramide egizia piu` alta ?,long,neutral,fact,OG,Gemma,trust,12.64
Quale e la piramide egizia piu` alta ?,long,neutral,fact,OG,Gemma,expectations,12.88
Quanto era alta la tomba del padre di Micerino?,long,neutral,fact,OG,Gemma,positive,27.61
Quanto era alta la tomba del padre di Micerino?,long,neutral,fact,OG,Gemma,negative,29.56
Quanto era alta la tomba del padre di Micerino?,long,neutral,fact,OG,Gemma,neutral,42.84
Quanto era alta la tomba del padre di Micerino?,long,neutral,fact,OG,Gemma,joy,12.54
Quanto era alta la tomba del padre di Micerino?,long,neutral,fact,OG,Gemma,anger,13.12
Quanto era alta la tomba del padre di Micerino?,long,neutral,fact,OG,Gemma,surprise,12.68
Quanto era alta la tomba del padre di Micerino?,long,neutral,fact,OG,Gemma,disgust,11.92
Quanto era alta la tomba del padre di Micerino?,long,neutral,fact,OG,Gemma,fear,12.23
Quanto era alta la tomba del padre di Micerino?,long,neutral,fact,OG,Gemma,sadness,12.79
Quanto era alta la tomba del padre di Micerino?,long,neutral,fact,OG,Gemma,trust,12.65
Quanto era alta la tomba del padre di Micerino?,long,neutral,fact,OG,Gemma,expectations,12.06
quanto ̬ alta la tomba del padre di micerino,long,neutral,multisteps,OG,Gemma,positive,29.97
quanto ̬ alta la tomba del padre di micerino,long,neutral,multisteps,OG,Gemma,negative,35.82
quanto ̬ alta la tomba del padre di micerino,long,neutral,multisteps,OG,Gemma,neutral,34.21
quanto ̬ alta la tomba del padre di micerino,long,neutral,multisteps,OG,Gemma,joy,12.19
quanto ̬ alta la tomba del padre di micerino,long,neutral,multisteps,OG,Gemma,anger,12.6
quanto ̬ alta la tomba del padre di micerino,long,neutral,multisteps,OG,Gemma,surprise,12.83
quanto ̬ alta la tomba del padre di micerino,long,neutral,multisteps,OG,Gemma,disgust,11.92
quanto ̬ alta la tomba del padre di micerino,long,neutral,multisteps,OG,Gemma,fear,12.32
quanto ̬ alta la tomba del padre di micerino,long,neutral,multisteps,OG,Gemma,sadness,12.62
quanto ̬ alta la tomba del padre di micerino,long,neutral,multisteps,OG,Gemma,trust,13.12
quanto ̬ alta la tomba del padre di micerino,long,neutral,multisteps,OG,Gemma,expectations,12.41
quanto ̬ alta la tomba del padre micerino,long,neutral,multisteps,OG,Gemma,positive,29.97
quanto ̬ alta la tomba del padre micerino,long,neutral,multisteps,OG,Gemma,negative,35.82
quanto ̬ alta la tomba del padre micerino,long,neutral,multisteps,OG,Gemma,neutral,34.21
quanto ̬ alta la tomba del padre micerino,long,neutral,multisteps,OG,Gemma,joy,12.19
quanto ̬ alta la tomba del padre micerino,long,neutral,multisteps,OG,Gemma,anger,12.6
quanto ̬ alta la tomba del padre micerino,long,neutral,multisteps,OG,Gemma,surprise,12.83
quanto ̬ alta la tomba del padre micerino,long,neutral,multisteps,OG,Gemma,disgust,11.92
quanto ̬ alta la tomba del padre micerino,long,neutral,multisteps,OG,Gemma,fear,12.32
quanto ̬ alta la tomba del padre micerino,long,neutral,multisteps,OG,Gemma,sadness,12.62
quanto ̬ alta la tomba del padre micerino,long,neutral,multisteps,OG,Gemma,trust,13.12
quanto ̬ alta la tomba del padre micerino,long,neutral,multisteps,OG,Gemma,expectations,12.41
quanto ̬ alta la tomba di Chefren,long,neutral,multisteps,OG,Gemma,positive,32.68
quanto ̬ alta la tomba di Chefren,long,neutral,multisteps,OG,Gemma,negative,26.43
quanto ̬ alta la tomba di Chefren,long,neutral,multisteps,OG,Gemma,neutral,40.9
quanto ̬ alta la tomba di Chefren,long,neutral,multisteps,OG,Gemma,joy,12.56
quanto ̬ alta la tomba di Chefren,long,neutral,multisteps,OG,Gemma,anger,12.96
quanto ̬ alta la tomba di Chefren,long,neutral,multisteps,OG,Gemma,surprise,12.69
quanto ̬ alta la tomba di Chefren,long,neutral,multisteps,OG,Gemma,disgust,12.17
quanto ̬ alta la tomba di Chefren,long,neutral,multisteps,OG,Gemma,fear,12.33
quanto ̬ alta la tomba di Chefren,long,neutral,multisteps,OG,Gemma,sadness,12.77
quanto ̬ alta la tomba di Chefren,long,neutral,multisteps,OG,Gemma,trust,12.19
quanto ̬ alta la tomba di Chefren,long,neutral,multisteps,OG,Gemma,expectations,12.32
quanto ̬ alta la tomba di micerino,long,neutral,multisteps,OG,Gemma,positive,34.81
quanto ̬ alta la tomba di micerino,long,neutral,multisteps,OG,Gemma,negative,27.15
quanto ̬ alta la tomba di micerino,long,neutral,multisteps,OG,Gemma,neutral,38.04
quanto ̬ alta la tomba di micerino,long,neutral,multisteps,OG,Gemma,joy,12.12
quanto ̬ alta la tomba di micerino,long,neutral,multisteps,OG,Gemma,anger,12.58
quanto ̬ alta la tomba di micerino,long,neutral,multisteps,OG,Gemma,surprise,12.58
quanto ̬ alta la tomba di micerino,long,neutral,multisteps,OG,Gemma,disgust,11.75
quanto ̬ alta la tomba di micerino,long,neutral,multisteps,OG,Gemma,fear,12.25
quanto ̬ alta la tomba di micerino,long,neutral,multisteps,OG,Gemma,sadness,12.28
quanto ̬ alta la tomba di micerino,long,neutral,multisteps,OG,Gemma,trust,13.58
quanto ̬ alta la tomba di micerino,long,neutral,multisteps,OG,Gemma,expectations,12.86
quanto ̩l alta la tomba di micerino,long,neutral,multisteps,OG,Gemma,positive,32.68
quanto ̩l alta la tomba di micerino,long,neutral,multisteps,OG,Gemma,negative,37.53
quanto ̩l alta la tomba di micerino,long,neutral,multisteps,OG,Gemma,neutral,29.78
quanto ̩l alta la tomba di micerino,long,neutral,multisteps,OG,Gemma,joy,12.08
quanto ̩l alta la tomba di micerino,long,neutral,multisteps,OG,Gemma,anger,12.38
quanto ̩l alta la tomba di micerino,long,neutral,multisteps,OG,Gemma,surprise,12.88
quanto ̩l alta la tomba di micerino,long,neutral,multisteps,OG,Gemma,disgust,12.0
quanto ̩l alta la tomba di micerino,long,neutral,multisteps,OG,Gemma,fear,12.38
quanto ̩l alta la tomba di micerino,long,neutral,multisteps,OG,Gemma,sadness,12.55
quanto ̩l alta la tomba di micerino,long,neutral,multisteps,OG,Gemma,trust,13.13
quanto ̩l alta la tomba di micerino,long,neutral,multisteps,OG,Gemma,expectations,12.6
regioni ital̩8iane con piu` squadre di pallavolo,long,neutral,multisteps,OG,Gemma,positive,26.36
regioni ital̩8iane con piu` squadre di pallavolo,long,neutral,multisteps,OG,Gemma,negative,22.25
regioni ital̩8iane con piu` squadre di pallavolo,long,neutral,multisteps,OG,Gemma,neutral,51.39
regioni ital̩8iane con piu` squadre di pallavolo,long,neutral,multisteps,OG,Gemma,joy,12.41
regioni ital̩8iane con piu` squadre di pallavolo,long,neutral,multisteps,OG,Gemma,anger,12.42
regioni ital̩8iane con piu` squadre di pallavolo,long,neutral,multisteps,OG,Gemma,surprise,12.58
regioni ital̩8iane con piu` squadre di pallavolo,long,neutral,multisteps,OG,Gemma,disgust,11.91
regioni ital̩8iane con piu` squadre di pallavolo,long,neutral,multisteps,OG,Gemma,fear,12.43
regioni ital̩8iane con piu` squadre di pallavolo,long,neutral,multisteps,OG,Gemma,sadness,12.2
regioni ital̩8iane con piu` squadre di pallavolo,long,neutral,multisteps,OG,Gemma,trust,13.08
regioni ital̩8iane con piu` squadre di pallavolo,long,neutral,multisteps,OG,Gemma,expectations,12.98
tre animali a rischio di estinzione,short,neutral,fact,OG,Gemma,positive,26.85
tre animali a rischio di estinzione,short,neutral,fact,OG,Gemma,negative,26.8
tre animali a rischio di estinzione,short,neutral,fact,OG,Gemma,neutral,46.35
tre animali a rischio di estinzione,short,neutral,fact,OG,Gemma,joy,12.19
tre animali a rischio di estinzione,short,neutral,fact,OG,Gemma,anger,12.27
tre animali a rischio di estinzione,short,neutral,fact,OG,Gemma,surprise,12.3
tre animali a rischio di estinzione,short,neutral,fact,OG,Gemma,disgust,12.08
tre animali a rischio di estinzione,short,neutral,fact,OG,Gemma,fear,13.03
tre animali a rischio di estinzione,short,neutral,fact,OG,Gemma,sadness,12.42
tre animali a rischio di estinzione,short,neutral,fact,OG,Gemma,trust,13.11
tre animali a rischio di estinzione,short,neutral,fact,OG,Gemma,expectations,12.6
tre animali a rischio estinzione,short,neutral,fact,OG,Gemma,positive,25.69
tre animali a rischio estinzione,short,neutral,fact,OG,Gemma,negative,25.57
tre animali a rischio estinzione,short,neutral,fact,OG,Gemma,neutral,48.74
tre animali a rischio estinzione,short,neutral,fact,OG,Gemma,joy,12.18
tre animali a rischio estinzione,short,neutral,fact,OG,Gemma,anger,12.38
tre animali a rischio estinzione,short,neutral,fact,OG,Gemma,surprise,12.16
tre animali a rischio estinzione,short,neutral,fact,OG,Gemma,disgust,12.15
tre animali a rischio estinzione,short,neutral,fact,OG,Gemma,fear,12.89
tre animali a rischio estinzione,short,neutral,fact,OG,Gemma,sadness,12.39
tre animali a rischio estinzione,short,neutral,fact,OG,Gemma,trust,13.2
tre animali a rischio estinzione,short,neutral,fact,OG,Gemma,expectations,12.64
tre animali in via di estinzione,short,neutral,fact,OG,Gemma,positive,29.53
tre animali in via di estinzione,short,neutral,fact,OG,Gemma,negative,22.06
tre animali in via di estinzione,short,neutral,fact,OG,Gemma,neutral,48.41
tre animali in via di estinzione,short,neutral,fact,OG,Gemma,joy,12.61
tre animali in via di estinzione,short,neutral,fact,OG,Gemma,anger,12.66
tre animali in via di estinzione,short,neutral,fact,OG,Gemma,surprise,12.28
tre animali in via di estinzione,short,neutral,fact,OG,Gemma,disgust,12.84
tre animali in via di estinzione,short,neutral,fact,OG,Gemma,fear,12.77
tre animali in via di estinzione,short,neutral,fact,OG,Gemma,sadness,12.52
tre animali in via di estinzione,short,neutral,fact,OG,Gemma,trust,12.24
tre animali in via di estinzione,short,neutral,fact,OG,Gemma,expectations,12.08
trova 3 animali a rischio di estinzione,long,neutral,fact,OG,Gemma,positive,18.6
trova 3 animali a rischio di estinzione,long,neutral,fact,OG,Gemma,negative,45.79
trova 3 animali a rischio di estinzione,long,neutral,fact,OG,Gemma,neutral,35.6
trova 3 animali a rischio di estinzione,long,neutral,fact,OG,Gemma,joy,13.03
trova 3 animali a rischio di estinzione,long,neutral,fact,OG,Gemma,anger,12.95
trova 3 animali a rischio di estinzione,long,neutral,fact,OG,Gemma,surprise,12.78
trova 3 animali a rischio di estinzione,long,neutral,fact,OG,Gemma,disgust,12.27
trova 3 animali a rischio di estinzione,long,neutral,fact,OG,Gemma,fear,12.85
trova 3 animali a rischio di estinzione,long,neutral,fact,OG,Gemma,sadness,12.25
trova 3 animali a rischio di estinzione,long,neutral,fact,OG,Gemma,trust,11.75
trova 3 animali a rischio di estinzione,long,neutral,fact,OG,Gemma,expectations,12.12
un bambino sano quanto pasti fa al giorno,long,neutral,fact,OG,Gemma,positive,34.16
un bambino sano quanto pasti fa al giorno,long,neutral,fact,OG,Gemma,negative,25.5
un bambino sano quanto pasti fa al giorno,long,neutral,fact,OG,Gemma,neutral,40.33
un bambino sano quanto pasti fa al giorno,long,neutral,fact,OG,Gemma,joy,12.57
un bambino sano quanto pasti fa al giorno,long,neutral,fact,OG,Gemma,anger,12.35
un bambino sano quanto pasti fa al giorno,long,neutral,fact,OG,Gemma,surprise,12.15
un bambino sano quanto pasti fa al giorno,long,neutral,fact,OG,Gemma,disgust,12.08
un bambino sano quanto pasti fa al giorno,long,neutral,fact,OG,Gemma,fear,12.57
un bambino sano quanto pasti fa al giorno,long,neutral,fact,OG,Gemma,sadness,12.69
un bambino sano quanto pasti fa al giorno,long,neutral,fact,OG,Gemma,trust,13.27
un bambino sano quanto pasti fa al giorno,long,neutral,fact,OG,Gemma,expectations,12.32
un fantasma delle montagne foto,short,neutral,fact,OG,Gemma,positive,24.49
un fantasma delle montagne foto,short,neutral,fact,OG,Gemma,negative,27.99
un fantasma delle montagne foto,short,neutral,fact,OG,Gemma,neutral,47.52
un fantasma delle montagne foto,short,neutral,fact,OG,Gemma,joy,12.12
un fantasma delle montagne foto,short,neutral,fact,OG,Gemma,anger,12.32
un fantasma delle montagne foto,short,neutral,fact,OG,Gemma,surprise,12.74
un fantasma delle montagne foto,short,neutral,fact,OG,Gemma,disgust,11.84
un fantasma delle montagne foto,short,neutral,fact,OG,Gemma,fear,12.89
un fantasma delle montagne foto,short,neutral,fact,OG,Gemma,sadness,12.42
un fantasma delle montagne foto,short,neutral,fact,OG,Gemma,trust,12.84
un fantasma delle montagne foto,short,neutral,fact,OG,Gemma,expectations,12.82
vulcano attivo piu atlantico,short,neutral,fact,OG,Gemma,positive,28.47
vulcano attivo piu atlantico,short,neutral,fact,OG,Gemma,negative,24.49
vulcano attivo piu atlantico,short,neutral,fact,OG,Gemma,neutral,47.04
vulcano attivo piu atlantico,short,neutral,fact,OG,Gemma,joy,12.24
vulcano attivo piu atlantico,short,neutral,fact,OG,Gemma,anger,12.34
vulcano attivo piu atlantico,short,neutral,fact,OG,Gemma,surprise,12.2
vulcano attivo piu atlantico,short,neutral,fact,OG,Gemma,disgust,12.13
vulcano attivo piu atlantico,short,neutral,fact,OG,Gemma,fear,12.69
vulcano attivo piu atlantico,short,neutral,fact,OG,Gemma,sadness,12.31
vulcano attivo piu atlantico,short,neutral,fact,OG,Gemma,trust,13.35
vulcano attivo piu atlantico,short,neutral,fact,OG,Gemma,expectations,12.75
wwf in via di estinzione,short,neutral,fact,OG,Gemma,positive,28.1
wwf in via di estinzione,short,neutral,fact,OG,Gemma,negative,16.5
wwf in via di estinzione,short,neutral,fact,OG,Gemma,neutral,55.4
wwf in via di estinzione,short,neutral,fact,OG,Gemma,joy,12.32
wwf in via di estinzione,short,neutral,fact,OG,Gemma,anger,12.18
wwf in via di estinzione,short,neutral,fact,OG,Gemma,surprise,12.26
wwf in via di estinzione,short,neutral,fact,OG,Gemma,disgust,12.17
wwf in via di estinzione,short,neutral,fact,OG,Gemma,fear,12.75
wwf in via di estinzione,short,neutral,fact,OG,Gemma,sadness,12.14
wwf in via di estinzione,short,neutral,fact,OG,Gemma,trust,13.45
wwf in via di estinzione,short,neutral,fact,OG,Gemma,expectations,12.74
zigurat,short,positive,unknown,OG,Gemma,positive,26.67
zigurat,short,positive,unknown,OG,Gemma,negative,22.61
zigurat,short,positive,unknown,OG,Gemma,neutral,50.71
